name,category,language,director,rating
Baahubali: The Beginning,Action,Telugu,S. S. Rajamouli,8.0
Eega,Fantasy,Telugu,S. S. Rajamouli,7.7
Ala Vaikunthapurramuloo,Action,Telugu,Trivikram Srinivas,7.4
Arjun Reddy,Drama,Telugu,Sandeep Reddy Vanga,8.1
Mahanati,Biography,Telugu,Nag Ashwin,8.5
Jersey,Sports,Telugu,Gowtam Tinnanuri,8.4
Rangasthalam,Drama,Telugu,Sukumar,8.4
Pushpa: The Rise,Action,Telugu,Sukumar,7.9
Vedam,Drama,Telugu,Krish,8.1
Magadheera,Fantasy,Telugu,S. S. Rajamouli,7.7
Khaleja,Action,Telugu,Trivikram Srinivas,7.6
Athadu,Action,Telugu,Trivikram Srinivas,8.2
Manam,Drama,Telugu,Vikram Kumar,8.0
Okkadu,Action,Telugu,Gunasekhar,8.0
Pokiri,Action,Telugu,Puri Jagannadh,7.9
Bommarillu,Romance,Telugu,Bhaskar,8.2
Happy Days,Drama,Telugu,Shekar Kammula,8.1
Pelli Choopulu,Romance,Telugu,Tharun Bhascker Dhaassyam,8.0
Kshanam,Thriller,Telugu,Ravikanth Perepu,7.9
Evaru,Thriller,Telugu,Venkat Ramji,8.2
Goodachari,Action,Telugu,Sashi Kiran Tikka,8.0
Brochevarevarura,Comedy,Telugu,Vivek Athreya,8.0
Nannaku Prematho,Action,Telugu,Sukumar,7.6
Srimanthudu,Drama,Telugu,Koratala Siva,7.5
Janatha Garage,Action,Telugu,Koratala Siva,7.3
Gabbar Singh,Action,Telugu,Harish Shankar,7.2
Race Gurram,Action,Telugu,Surender Reddy,7.2
Dhruva,Action,Telugu,Surender Reddy,7.7
Baahubali: The Conclusion,Action,Telugu,S. S. Rajamouli,8.2
Ye Maaya Chesave,Romance,Telugu,Gautham Menon,7.7
Uppena,Romance,Telugu,Buchi Babu Sana,7.1
Fidaa,Romance,Telugu,Shekar Kammula,7.4
